n \ ds,u3,u4,wc3,wc4,sc3,sc4,isc3,isc4,asc3,asc4,ss3,ss4,sw5
50,0,0,0.1,0.1,0.3,1.7,0.4,1.8,1.2,6.2,0.1,1.1,12.6
100,0,0,0.1,0.2,1,8.8,1,9.4,7.4,279,0.1,1.4,262.1
200,0.1,0.1,0.2,0.3,2.5,29.4,2.2,26.2,29.3,2739.9,0.2,1.5,1117.3
500,0.1,0.1,0.4,1,6.2,67.5,6.4,76.2,109.3,x,0.2,2,x
1000,0.2,0.3,0.7,1.7,12,170.5,12,163,276.9,x,0.1,1.9,x
2000,0.4,0.7,0.8,5.1,19.6,224.7,22.9,256.9,525.2,x,0.2,1.8,x
5000,0.9,1.6,0.9,12.6,53.4,728.7,52.3,828.8,1395.2,x,0.2,1.5,x
10000,1.5,4.1,1.2,23.8,93.7,1294.7,92.5,1665.1,2346.6,x,0.5,1.9,x

