n \ ds,u5,u6,u7,wc5,wc6,wc7,sc5,sc6,sc7,isc5,isc6,isc7,asc5,asc6,asc7,ss5,ss6,ss7,sw7,sw8
50,0,0,0,0.1,0.1,0.1,1.2,3.3,4.1,0.8,2.4,2.6,3.1,1.7,1.3,5.4,49.2,435.1,0.4,0.4
100,0,0,0,0.1,0.2,0.2,2.3,16.5,67,2.4,13.8,69.1,24.9,249.9,38.3,5.5,55.1,542.8,0.7,0.7
200,0,0,0,0.4,0.4,0.4,5.2,48,356,5.4,37.3,257.1,x,20,1311.9,6.1,80.2,593.1,0.9,0.9
500,0.1,0.1,0.1,1.6,1.3,1.3,4.6,67.7,567.4,4.8,41.7,479.6,119.1,46.3,51.7,4.7,60,588.2,1.1,1.1
1000,0.2,0.2,0.2,3.6,4.1,4,4.6,76.1,625.1,4.7,31.9,504,41.6,57.1,34.5,3.6,76.9,561.9,1.4,1.4
2000,0.7,0.6,0.6,10.4,10.6,12.4,9.1,44.4,983.1,8.7,43.3,1080.6,62,66.6,x,2.2,28.4,598.3,1.9,1.9
5000,2.1,2.5,2.4,37.4,42.9,34.4,9,16.8,1230.3,24.1,24.1,751.2,x,x,x,2.7,10.9,442.9,4.1,4.1
10000,7.5,6.8,6.3,110.3,105.8,92.9,13.1,14.2,402.2,13.2,14.4,295.5,x,x,x,3.4,4.9,149.9,12.3,12.4

